çÏã∆ì˙,êîó 
2018-04-04,41296.0
2018-04-05,38153.0
2018-04-06,33987.0
2018-04-07,9665.0
2018-04-08,0.0
2018-04-09,32932.0
2018-04-10,28808.0
2018-04-11,42834.0
2018-04-12,47050.0
2018-04-13,35366.0
2018-04-14,17507.0
2018-04-15,0.0
2018-04-16,60726.0
2018-04-17,35796.0
2018-04-18,35080.0
2018-04-19,35250.0
2018-04-20,28242.0
2018-04-21,7168.0
2018-04-22,0.0
2018-04-23,44401.0
2018-04-24,33660.0
2018-04-25,54792.0
2018-04-26,47663.0
2018-04-27,33506.0
2018-04-28,7445.0
2018-04-29,0.0
2018-04-30,32190.0
2018-05-01,35875.0
2018-05-02,50061.0
2018-05-03,46496.0
2018-05-04,32583.0
2018-05-05,8691.0
2018-05-06,0.0
2018-05-07,40899.0
2018-05-08,35637.0
2018-05-09,39519.0
2018-05-10,37863.0
2018-05-11,34067.0
2018-05-12,6745.0
2018-05-13,0.0
2018-05-14,26205.0
2018-05-15,29086.0
2018-05-16,41339.0
2018-05-17,49487.0
2018-05-18,45247.0
2018-05-19,16316.0
2018-05-20,0.0
2018-05-21,56505.0
2018-05-22,43499.0
2018-05-23,83271.0
2018-05-24,66202.0
2018-05-25,39132.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,45216.0
2018-05-29,33132.0
2018-05-30,46295.0
2018-05-31,55476.0
2018-06-01,45435.0
2018-06-02,10936.0
2018-06-03,0.0
2018-06-04,47816.0
2018-06-05,36253.0
2018-06-06,38207.0
2018-06-07,36413.0
2018-06-08,25060.0
2018-06-09,4944.0
2018-06-10,0.0
2018-06-11,34758.0
2018-06-12,32660.0
2018-06-13,59585.0
2018-06-14,59462.0
2018-06-15,46778.0
2018-06-16,20170.0
2018-06-17,0.0
2018-06-18,55101.0
2018-06-19,41585.0
2018-06-20,82180.0
2018-06-21,66558.0
2018-06-22,45780.0
2018-06-23,6582.0
2018-06-24,0.0
2018-06-25,30695.0
2018-06-26,29239.0
2018-06-27,78149.0
2018-06-28,58501.0
2018-06-29,36847.0
2018-06-30,7197.0
2018-07-01,0.0
2018-07-02,41363.0
2018-07-03,37774.0
2018-07-04,45057.0
2018-07-05,47744.0
2018-07-06,38181.0
2018-07-07,12269.0
2018-07-08,0.0
2018-07-09,34474.0
2018-07-10,32712.0
2018-07-11,47471.0
2018-07-12,52272.0
2018-07-13,39543.0
2018-07-14,6010.0
2018-07-15,0.0
2018-07-16,29767.0
2018-07-17,29976.0
2018-07-18,49718.0
2018-07-19,43794.0
2018-07-20,36185.0
2018-07-21,11767.0
2018-07-22,0.0
2018-07-23,40482.0
2018-07-24,32420.0
2018-07-25,68215.0
2018-07-26,51614.0
2018-07-27,32431.0
2018-07-28,5339.0
2018-07-29,0.0
2018-07-30,30651.0
2018-07-31,25829.0
2018-08-01,54113.0
2018-08-02,46166.0
2018-08-03,34876.0
2018-08-04,9332.0
2018-08-05,0.0
2018-08-06,30629.0
2018-08-07,0.0
2018-08-08,35848.0
2018-08-09,40262.0
2018-08-10,32242.0
2018-08-11,8287.0
2018-08-12,0.0
2018-08-13,30100.0
2018-08-14,23549.0
2018-08-15,28634.0
2018-08-16,34584.0
2018-08-17,35039.0
2018-08-18,12019.0
2018-08-19,0.0
2018-08-20,42952.0
2018-08-21,39680.0
2018-08-22,42057.0
2018-08-23,42045.0
2018-08-24,26091.0
2018-08-25,10879.0
2018-08-26,0.0
2018-08-27,49192.0
2018-08-28,29735.0
2018-08-29,59303.0
2018-08-30,51739.0
2018-08-31,42471.0
